date,gdp,imports,electricity,industrial_va,retail_sales,fixed_asset_investment,cpi
1992Q4,,,,1.1496493674094859,4.603353750964671,,
1993Q1,,3.8308430767673194,,1.3473569909802807,4.613984337399009,,3.6226608557700377
1993Q2,,4.082167792362179,,1.4288865601011396,4.619256903028589,,3.6746694688006634
1993Q3,,4.209096987065877,,1.4078888736827109,4.617367097002572,,3.6946839918092693
1993Q4,,4.45371231077303,,1.4757127516316944,4.615901380411618,,3.7418972565157453
1994Q1,,3.7974529937478,,1.5306719658773578,4.6218360541572885,,3.823448152300972
1994Q2,,4.089949969135526,,1.607665633206091,4.630833218856375,,3.872430879309608
1994Q3,,4.044355651252159,,1.6690930556891208,4.637414906455769,,3.9236175284107766
1994Q4,,4.253000187769971,,1.7170950104431262,4.637325972565883,,3.9799981770119586
1995Q1,,3.750470841706628,,1.7729811614984035,4.632627570673333,,4.027070391493911
1995Q2,,4.040883101154077,,1.8074387841221855,4.628982608132375,,4.052456953840719
1995Q3,,4.070204559467091,,1.8421320423774543,4.627206668232109,,4.061267325877578
1995Q4,,4.245272426956281,,1.875879106712891,4.626606072310828,,4.085494796080909
1996Q1,,3.867467710906203,,1.9041916352904626,4.626129741861562,,4.1166201640529625
1996Q2,,3.9865368791455893,,1.94427372702054,4.625984575515834,,4.139242027385143
1996Q3,,3.956097058137541,,1.9979245333352575,4.626159849318733,,4.137548517619766
1996Q4,,4.21248076231728,,2.047320546208011,4.626293409264008,,4.152842479760832
1997Q1,,3.798985721612235,,2.1097251460396427,4.625171299903048,,4.166941723039989
1997Q2,,3.9697062684986286,,2.174173148132165,4.623189980231546,,4.16815728841407
1997Q3,,4.011152391749091,,2.2066207455908167,4.620430116694737,,4.158608722809592
1997Q4,,4.227005463139044,,2.2483123901078357,4.617370522428116,,4.162786081742487
1998Q1,,3.8220377193240895,,2.233238144158071,4.61299715096349,,4.169926618015413
1998Q2,,3.9933858546035874,,2.2626923085987465,4.608407113147137,,4.159474575060627
1998Q3,,3.996119757555361,,2.3242379423907833,4.607740539820602,,4.144166627660673
1998Q4,,4.182362826227233,,2.3644444444089463,4.608238875022348,,4.151724500906325
1999Q1,,3.94540390617387,,2.379553286055531,4.602851085378119,,4.155485651953208
1999Q2,,4.2050839260169885,,2.3882104680256453,4.594801233206267,,4.1375653839211015
1999Q3,,4.2249410077940945,,2.4226474912459124,4.590158634555334,,4.132458947808695
1999Q4,,4.3354440991479715,,2.481905634212533,4.589128166969818,,4.1433616318634705
2000Q1,,4.287956354625964,,2.53963087218755,4.591022066427723,,4.1564940861435895
2000Q2,,4.485196800626487,,2.5842246013296655,4.596619308402707,,4.138534213149993
2000Q3,,4.580751741941736,,2.621379053717032,4.602287021195984,,4.135095567556016
2000Q4,,4.579653024509147,,2.6507035427766787,4.604630949873624,,4.152619287939217
2001Q1,,4.441068345488615,,2.6925306174556893,4.601345163558813,,4.163109555895024
2001Q2,,4.576928439021009,,2.720077384516479,4.590599632014418,,4.154084976248554
2001Q3,,4.636105380613469,,2.743734305407656,4.578329037816476,,4.142990430267062
2001Q4,,4.583246767404508,,2.767942129903025,4.569154854923042,,4.15128113664269
2002Q1,,4.497538103723314,,2.8138935458057484,4.5671625415685355,,4.157223321299696
2002Q2,,4.727692010480545,,2.8535034053330293,4.572911727862106,,4.144122016637864
