date,gdp,imports,electricity,industrial_va,retail_sales,fixed_asset_investment
2018-Q1,1006.2648129424906,510.3028336638645,858.6514009122949,592.516162723391,1039.2777055035915,1089.0711838100829
2018-Q2,1006.850889745782,500.71803380148185,860.8696132877608,591.9975028073073,1041.963325253839,1078.8447221524216
2018-Q3,1008.0108646931304,505.05355259759614,864.8081093095343,593.0500709953088,1042.659044246935,1081.864291550802
2018-Q4,1009.1570467356488,505.73531486487065,863.0236121613424,594.094569896571,1042.9432069824743,1085.249763554919
2019-Q1,1013.68213228778,514.498549313081,867.9499098226291,599.7966372524326,1045.365269029198,1086.6490189033568
2019-Q2,1012.6282275537992,506.374754790112,867.1869447389867,596.7696197081063,1047.0979193605456,1072.365721219165
2019-Q3,1013.6221458557848,500.4322193949058,867.3307656041018,597.9140828506534,1047.7527744477543,1064.265364973881
2019-Q4,1014.458281091602,503.1644124841434,870.1096829392844,598.926176182027,1046.382615122884,1060.1510449013465
2020-Q1,1008.1809745117412,490.0111517171429,864.3614366245615,584.7647848231935,1036.0752914113846,1029.589675838494
2020-Q2,1016.0860815808276,498.88886799464245,870.5297992965919,601.1085657583461,1036.4145862856044,1066.942195967787
2020-Q3,1018.4315065780868,508.75320176010143,869.9764716965399,603.1843229339514,1043.163306441972,1061.06952585412
2020-Q4,1020.7255055765328,508.3853671777548,876.9087451562152,606.1323442713143,1047.524149445478,1057.6193431514278
2021-Q1,1023.680532604808,504.9005538109422,876.5770543987256,612.8030522028325,1045.5077804989876,1070.1126568342663
2021-Q2,1024.3224432507202,517.5983770078424,882.8127815678168,611.902567914058,1052.314442925274,1060.719504182816
2021-Q3,1023.9941445193448,508.9922364603413,880.6648690417161,610.0899271490044,1051.11726548583,1062.6656487422324
2021-Q4,1025.457496367089,506.78448787956273,882.0492674763095,610.256146779304,1051.1097855225937,1064.523281861601
2022-Q1,1027.2466414651308,505.0679046840849,885.2064146670477,616.7308439144018,1050.582663490591,1079.962963357117
2022-Q2,1025.6381833255768,499.79414100018585,880.9474670362913,610.2910302641859,1038.7086760489483,1069.6574107469885
2022-Q3,1028.1946388213275,503.08474960205103,886.5184541851166,614.648309391111,1051.8091796261149,1070.5380769411684
2022-Q4,1028.6823816437688,502.3867027234358,885.6219306967832,615.6980210465514,1048.6675739371349,1071.2886295990334
2023-Q1,1030.8015216368829,508.9357139156457,891.162431506403,615.8841129556932,1050.516036237854,1060.045472961303
2023-Q2,1032.3059434802703,503.6673023507027,889.2267818200332,617.1054313881692,1055.0660925419174,1056.921898700295
2023-Q3,1033.416408536048,506.6747075773312,891.1745639113976,619.1001004258832,1055.0303418174085,1062.2020783661649
2023-Q4,1034.289775680289,510.7580483763742,892.1844635256061,620.6875888203443,1055.954744437911,1061.5047303887995
2024-Q1,1034.9607805442647,508.0852994126947,894.1401542341538,619.7428289158978,1057.036422545476,1063.3893744268664
2024-Q2,1037.1743719837311,512.402889491324,893.9961072761364,624.8486664733074,1056.9589476272647,1070.7484983634365
2024-Q3,1038.149038499948,510.4666352522445,895.4647802176623,624.8313280659265,1057.523590501273,1064.4661420183163
2024-Q4,1039.8683411199163,508.6156904144766,895.8938797040976,626.2579602730913,1059.8642292919037,1063.0388118904748
