date,value,source,units,fetched_at
2000-01,63.59388,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-02,64.42136,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-03,63.52662,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-04,63.15247,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-05,62.77492,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-06,62.20511,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-07,61.83311,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-08,62.20135,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-09,63.45223,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-10,63.45204,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-11,63.64271,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2000-12,63.70636,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-01,64.357,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-02,64.42136,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-03,64.03484,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-04,64.1629,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-05,63.84209,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-06,63.07598,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-07,62.7606,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-08,62.82336,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-09,63.38877,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-10,63.57894,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-11,63.45178,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2001-12,63.51524,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-01,63.70578,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-02,64.40655,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-03,63.56926,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-04,63.37855,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-05,63.18842,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-06,62.61972,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-07,62.18138,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-08,62.36793,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-09,62.99161,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-10,63.11759,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-11,63.05447,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2002-12,63.24364,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-01,63.93932,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-02,64.51477,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-03,64.12768,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-04,63.99942,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-05,63.55143,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-06,62.78881,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-07,62.47487,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-08,62.91219,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-09,63.66714,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-10,64.24014,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-11,64.88255,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2003-12,65.27184,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-01,65.98983,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-02,65.85785,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-03,66.05542,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-04,66.3857,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-05,66.31931,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-06,65.85508,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-07,65.72337,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-08,66.18343,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-09,66.91145,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-10,66.91145,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-11,66.71072,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2004-12,66.77743,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-01,67.17809,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-02,68.3873,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-03,67.77181,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-04,67.5685,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-05,67.43336,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-06,66.89389,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-07,66.89389,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-08,67.02768,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-09,67.49687,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-10,67.76686,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-11,67.56356,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2005-12,67.83382,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-01,68.71565,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-02,69.05923,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-03,68.4377,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-04,68.57458,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-05,68.506,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-06,68.16347,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-07,67.95898,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-08,68.16286,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-09,68.50367,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-10,68.57217,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2006-11,68.77789,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
