date,value,source,units,fetched_at
2003-11,36.893,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2003-12,42.336,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-01,35.71,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-02,42.02,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-03,46.48,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-04,49.53,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-05,42.98,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-06,48.89,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-07,48.98,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-08,46.82,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-09,50.72,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-10,45.44,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-11,50.97,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2004-12,52.68,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-01,44.26,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-02,39.9,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-03,55.21,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-04,57.66,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-05,49.4,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-06,56.21,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-07,54.9,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-08,57.78,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-09,62.57,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-10,56.05,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-11,61.66,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2005-12,64.38,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-01,55.497,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-02,51.684,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-03,66.857,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-04,66.491,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-05,60.11,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-06,66.808,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-07,65.714,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
